,timestamp,hour,day_of_week,day,month,year,is_weekend
149,2024-01-07 05:00:00+00:00,5,6,7,1,2024,True
150,2024-01-07 06:00:00+00:00,6,6,7,1,2024,True
151,2024-01-07 07:00:00+00:00,7,6,7,1,2024,True
152,2024-01-07 08:00:00+00:00,8,6,7,1,2024,True
153,2024-01-07 09:00:00+00:00,9,6,7,1,2024,True
154,2024-01-07 10:00:00+00:00,10,6,7,1,2024,True
155,2024-01-07 11:00:00+00:00,11,6,7,1,2024,True
156,2024-01-07 12:00:00+00:00,12,6,7,1,2024,True
157,2024-01-07 13:00:00+00:00,13,6,7,1,2024,True
158,2024-01-07 14:00:00+00:00,14,6,7,1,2024,True
159,2024-01-07 15:00:00+00:00,15,6,7,1,2024,True
160,2024-01-07 16:00:00+00:00,16,6,7,1,2024,True
161,2024-01-07 17:00:00+00:00,17,6,7,1,2024,True
162,2024-01-07 18:00:00+00:00,18,6,7,1,2024,True
163,2024-01-07 19:00:00+00:00,19,6,7,1,2024,True
164,2024-01-07 20:00:00+00:00,20,6,7,1,2024,True
165,2024-01-07 21:00:00+00:00,21,6,7,1,2024,True
166,2024-01-07 22:00:00+00:00,22,6,7,1,2024,True
167,2024-01-07 23:00:00+00:00,23,6,7,1,2024,True
168,2024-01-08 00:00:00+00:00,0,0,8,1,2024,False
169,2024-01-08 01:00:00+00:00,1,0,8,1,2024,False
170,2024-01-08 02:00:00+00:00,2,0,8,1,2024,False
171,2024-01-08 03:00:00+00:00,3,0,8,1,2024,False
172,2024-01-08 04:00:00+00:00,4,0,8,1,2024,False
173,2024-01-08 05:00:00+00:00,5,0,8,1,2024,False
174,2024-01-08 06:00:00+00:00,6,0,8,1,2024,False
175,2024-01-08 07:00:00+00:00,7,0,8,1,2024,False
176,2024-01-08 08:00:00+00:00,8,0,8,1,2024,False
177,2024-01-08 09:00:00+00:00,9,0,8,1,2024,False
178,2024-01-08 10:00:00+00:00,10,0,8,1,2024,False
179,2024-01-08 11:00:00+00:00,11,0,8,1,2024,False
180,2024-01-08 12:00:00+00:00,12,0,8,1,2024,False
181,2024-01-08 13:00:00+00:00,13,0,8,1,2024,False
182,2024-01-08 14:00:00+00:00,14,0,8,1,2024,False
183,2024-01-08 15:00:00+00:00,15,0,8,1,2024,False
184,2024-01-08 16:00:00+00:00,16,0,8,1,2024,False
185,2024-01-08 17:00:00+00:00,17,0,8,1,2024,False
186,2024-01-08 18:00:00+00:00,18,0,8,1,2024,False
187,2024-01-08 19:00:00+00:00,19,0,8,1,2024,False
188,2024-01-08 20:00:00+00:00,20,0,8,1,2024,False
189,2024-01-08 21:00:00+00:00,21,0,8,1,2024,False
190,2024-01-08 22:00:00+00:00,22,0,8,1,2024,False
191,2024-01-08 23:00:00+00:00,23,0,8,1,2024,False
192,2024-01-09 00:00:00+00:00,0,1,9,1,2024,False
193,2024-01-09 01:00:00+00:00,1,1,9,1,2024,False
194,2024-01-09 02:00:00+00:00,2,1,9,1,2024,False
195,2024-01-09 03:00:00+00:00,3,1,9,1,2024,False
196,2024-01-09 04:00:00+00:00,4,1,9,1,2024,False
197,2024-01-09 05:00:00+00:00,5,1,9,1,2024,False
198,2024-01-09 06:00:00+00:00,6,1,9,1,2024,False
199,2024-01-09 07:00:00+00:00,7,1,9,1,2024,False
200,2024-01-09 08:00:00+00:00,8,1,9,1,2024,False
201,2024-01-09 09:00:00+00:00,9,1,9,1,2024,False
202,2024-01-09 10:00:00+00:00,10,1,9,1,2024,False
203,2024-01-09 11:00:00+00:00,11,1,9,1,2024,False
204,2024-01-09 12:00:00+00:00,12,1,9,1,2024,False
205,2024-01-09 13:00:00+00:00,13,1,9,1,2024,False
206,2024-01-09 14:00:00+00:00,14,1,9,1,2024,False
207,2024-01-09 15:00:00+00:00,15,1,9,1,2024,False
208,2024-01-09 16:00:00+00:00,16,1,9,1,2024,False
209,2024-01-09 17:00:00+00:00,17,1,9,1,2024,False
210,2024-01-09 18:00:00+00:00,18,1,9,1,2024,False
211,2024-01-09 19:00:00+00:00,19,1,9,1,2024,False
212,2024-01-09 20:00:00+00:00,20,1,9,1,2024,False
213,2024-01-09 21:00:00+00:00,21,1,9,1,2024,False
214,2024-01-09 22:00:00+00:00,22,1,9,1,2024,False
215,2024-01-09 23:00:00+00:00,23,1,9,1,2024,False
216,2024-01-10 00:00:00+00:00,0,2,10,1,2024,False
217,2024-01-10 01:00:00+00:00,1,2,10,1,2024,False
218,2024-01-10 02:00:00+00:00,2,2,10,1,2024,False
219,2024-01-10 03:00:00+00:00,3,2,10,1,2024,False
220,2024-01-10 04:00:00+00:00,4,2,10,1,2024,False
221,2024-01-10 05:00:00+00:00,5,2,10,1,2024,False
222,2024-01-10 06:00:00+00:00,6,2,10,1,2024,False
223,2024-01-10 07:00:00+00:00,7,2,10,1,2024,False
224,2024-01-10 08:00:00+00:00,8,2,10,1,2024,False
225,2024-01-10 09:00:00+00:00,9,2,10,1,2024,False
226,2024-01-10 10:00:00+00:00,10,2,10,1,2024,False
227,2024-01-10 11:00:00+00:00,11,2,10,1,2024,False
228,2024-01-10 12:00:00+00:00,12,2,10,1,2024,False
229,2024-01-10 13:00:00+00:00,13,2,10,1,2024,False
230,2024-01-10 14:00:00+00:00,14,2,10,1,2024,False
231,2024-01-10 15:00:00+00:00,15,2,10,1,2024,False
232,2024-01-10 16:00:00+00:00,16,2,10,1,2024,False
