,Wind Onshore,Wind Onshore
,Actual Aggregated,Actual Consumption
timestamp,,
2024-01-05 04:00:00+01:00,14315.1,0.0
2024-01-05 04:15:00+01:00,14584.87,0.0
2024-01-05 04:30:00+01:00,14837.23,0.0
2024-01-05 04:45:00+01:00,15279.38,0.0
2024-01-05 05:00:00+01:00,15802.67,0.0
2024-01-05 05:15:00+01:00,16252.13,0.0
2024-01-05 05:30:00+01:00,16713.34,0.0
2024-01-05 05:45:00+01:00,17065.05,0.0
2024-01-05 06:00:00+01:00,17811.37,0.0
2024-01-05 06:15:00+01:00,18126.04,0.0
2024-01-05 06:30:00+01:00,18475.53,0.0
2024-01-05 06:45:00+01:00,18898.18,0.0
2024-01-05 07:00:00+01:00,19365.83,0.0
2024-01-05 07:15:00+01:00,19880.61,0.0
2024-01-05 07:30:00+01:00,20283.39,0.0
2024-01-05 07:45:00+01:00,20584.39,0.0
2024-01-05 08:00:00+01:00,20971.45,0.0
2024-01-05 08:15:00+01:00,21441.58,0.0
2024-01-05 08:30:00+01:00,21727.31,0.0
2024-01-05 08:45:00+01:00,22060.15,0.0
2024-01-05 09:00:00+01:00,22269.67,0.0
2024-01-05 09:15:00+01:00,22323.9,0.0
2024-01-05 09:30:00+01:00,22320.2,0.0
2024-01-05 09:45:00+01:00,22417.86,0.0
2024-01-05 10:00:00+01:00,22419.48,0.0
2024-01-05 10:15:00+01:00,22718.71,0.0
2024-01-05 10:30:00+01:00,22851.12,0.0
2024-01-05 10:45:00+01:00,23031.59,0.0
2024-01-05 11:00:00+01:00,23093.56,0.0
2024-01-05 11:15:00+01:00,23108.23,0.0
2024-01-05 11:30:00+01:00,23039.91,0.0
2024-01-05 11:45:00+01:00,23055.63,0.0
2024-01-05 12:00:00+01:00,23039.02,0.0
2024-01-05 12:15:00+01:00,22904.05,0.0
2024-01-05 12:30:00+01:00,22835.3,0.0
2024-01-05 12:45:00+01:00,22716.7,0.0
2024-01-05 13:00:00+01:00,22632.22,0.0
2024-01-05 13:15:00+01:00,22533.68,0.0
2024-01-05 13:30:00+01:00,22396.65,0.0
2024-01-05 13:45:00+01:00,22108.28,0.0
2024-01-05 14:00:00+01:00,22053.97,0.0
2024-01-05 14:15:00+01:00,22097.14,0.0
2024-01-05 14:30:00+01:00,21530.39,0.0
2024-01-05 14:45:00+01:00,21033.6,0.0
2024-01-05 15:00:00+01:00,20848.59,0.0
2024-01-05 15:15:00+01:00,20603.9,0.0
2024-01-05 15:30:00+01:00,20333.02,0.0
2024-01-05 15:45:00+01:00,20027.35,0.0
2024-01-05 16:00:00+01:00,19919.57,0.0
2024-01-05 16:15:00+01:00,19902.71,0.0
2024-01-05 16:30:00+01:00,19824.32,0.0
2024-01-05 16:45:00+01:00,19803.78,0.0
2024-01-05 17:00:00+01:00,19945.73,0.0
2024-01-05 17:15:00+01:00,20158.11,0.0
