,Solar,Solar
,Actual Aggregated,Actual Consumption
timestamp,,
2024-01-02 13:45:00+01:00,1958.15,0.0
2024-01-02 14:00:00+01:00,1636.46,0.0
2024-01-02 14:15:00+01:00,1342.19,0.0
2024-01-02 14:30:00+01:00,1099.22,0.0
2024-01-02 14:45:00+01:00,865.38,0.0
2024-01-02 15:00:00+01:00,629.23,0.0
2024-01-02 15:15:00+01:00,414.8,0.0
2024-01-02 15:30:00+01:00,234.24,0.0
2024-01-02 15:45:00+01:00,100.62,0.0
2024-01-02 16:00:00+01:00,28.67,0.0
2024-01-02 16:15:00+01:00,8.17,0.0
2024-01-02 16:30:00+01:00,7.08,0.0
2024-01-02 16:45:00+01:00,6.82,0.0
2024-01-02 17:00:00+01:00,5.16,0.0
2024-01-02 17:15:00+01:00,3.57,0.0
2024-01-02 17:30:00+01:00,3.52,0.0
2024-01-02 17:45:00+01:00,3.42,0.0
2024-01-02 18:00:00+01:00,6.18,0.0
2024-01-02 18:15:00+01:00,3.12,0.0
2024-01-02 18:30:00+01:00,3.05,0.0
2024-01-02 18:45:00+01:00,2.95,0.0
2024-01-02 19:00:00+01:00,3.62,0.0
2024-01-02 19:15:00+01:00,2.81,0.0
2024-01-02 19:30:00+01:00,2.71,0.0
2024-01-02 19:45:00+01:00,2.72,0.0
2024-01-02 20:00:00+01:00,3.21,0.0
2024-01-02 20:15:00+01:00,3.09,0.0
2024-01-02 20:30:00+01:00,2.35,0.0
2024-01-02 20:45:00+01:00,2.39,0.0
2024-01-02 21:00:00+01:00,3.33,0.0
2024-01-02 21:15:00+01:00,3.42,0.0
2024-01-02 21:30:00+01:00,2.58,0.0
2024-01-02 21:45:00+01:00,2.54,0.0
2024-01-02 22:00:00+01:00,3.18,0.0
2024-01-02 22:15:00+01:00,2.51,0.0
2024-01-02 22:30:00+01:00,4.63,0.0
2024-01-02 22:45:00+01:00,2.73,0.0
2024-01-02 23:00:00+01:00,3.22,0.0
2024-01-02 23:15:00+01:00,2.6,0.0
2024-01-02 23:30:00+01:00,2.58,0.0
2024-01-02 23:45:00+01:00,2.71,0.0
2024-01-03 00:00:00+01:00,3.46,0.0
2024-01-03 00:15:00+01:00,2.99,0.0
2024-01-03 00:30:00+01:00,2.69,0.0
2024-01-03 00:45:00+01:00,2.62,0.0
2024-01-03 01:00:00+01:00,3.34,0.0
2024-01-03 01:15:00+01:00,2.72,0.0
2024-01-03 01:30:00+01:00,2.68,0.0
2024-01-03 01:45:00+01:00,2.67,0.0
2024-01-03 02:00:00+01:00,3.27,0.0
2024-01-03 02:15:00+01:00,2.94,0.0
2024-01-03 02:30:00+01:00,2.7,0.0
2024-01-03 02:45:00+01:00,2.76,0.0
2024-01-03 03:00:00+01:00,3.24,0.0
2024-01-03 03:15:00+01:00,2.54,0.0
2024-01-03 03:30:00+01:00,2.6,0.0
2024-01-03 03:45:00+01:00,2.82,0.0
2024-01-03 04:00:00+01:00,2.75,0.0
2024-01-03 04:15:00+01:00,2.78,0.0
2024-01-03 04:30:00+01:00,2.75,0.0
2024-01-03 04:45:00+01:00,3.34,0.0
2024-01-03 05:00:00+01:00,2.59,0.0
2024-01-03 05:15:00+01:00,2.68,0.0
2024-01-03 05:30:00+01:00,2.76,0.0
2024-01-03 05:45:00+01:00,2.81,0.0
2024-01-03 06:00:00+01:00,3.56,0.0
2024-01-03 06:15:00+01:00,2.86,0.0
2024-01-03 06:30:00+01:00,2.82,0.0
2024-01-03 06:45:00+01:00,3.62,0.0
2024-01-03 07:00:00+01:00,2.75,0.0
2024-01-03 07:15:00+01:00,2.7,0.0
2024-01-03 07:30:00+01:00,2.87,0.0
2024-01-03 07:45:00+01:00,3.38,0.0
2024-01-03 08:00:00+01:00,11.39,0.0
2024-01-03 08:15:00+01:00,80.27,0.0
2024-01-03 08:30:00+01:00,380.07,0.0
2024-01-03 08:45:00+01:00,787.83,0.0
2024-01-03 09:00:00+01:00,1332.44,0.0
2024-01-03 09:15:00+01:00,2006.94,0.0
2024-01-03 09:30:00+01:00,2719.53,0.0
2024-01-03 09:45:00+01:00,3457.35,0.0
2024-01-03 10:00:00+01:00,4206.56,0.0
2024-01-03 10:15:00+01:00,5058.69,0.0
2024-01-03 10:30:00+01:00,5442.51,0.0
2024-01-03 10:45:00+01:00,5741.85,0.0
2024-01-03 11:00:00+01:00,5976.46,0.0
2024-01-03 11:15:00+01:00,6064.97,0.0
2024-01-03 11:30:00+01:00,6138.09,0.0
2024-01-03 11:45:00+01:00,6210.2,0.0
2024-01-03 12:00:00+01:00,6262.28,0.0
2024-01-03 12:15:00+01:00,6282.39,0.0
2024-01-03 12:30:00+01:00,6523.72,0.0
2024-01-03 12:45:00+01:00,6652.32,0.0
2024-01-03 13:00:00+01:00,6634.36,0.0
2024-01-03 13:15:00+01:00,6303.2,0.0
2024-01-03 13:30:00+01:00,5989.96,0.0
2024-01-03 13:45:00+01:00,5714.53,0.0
2024-01-03 14:00:00+01:00,5111.16,0.0
2024-01-03 14:15:00+01:00,4572.86,0.0
2024-01-03 14:30:00+01:00,3844.7,0.0
2024-01-03 14:45:00+01:00,3172.81,0.0
2024-01-03 15:00:00+01:00,2488.47,0.0
2024-01-03 15:15:00+01:00,1861.8,0.0
2024-01-03 15:30:00+01:00,1278.08,0.0
2024-01-03 15:45:00+01:00,705.66,0.0
2024-01-03 16:00:00+01:00,290.82,0.0
2024-01-03 16:15:00+01:00,68.42,0.0
2024-01-03 16:30:00+01:00,9.58,0.0
2024-01-03 16:45:00+01:00,8.4,0.0
2024-01-03 17:00:00+01:00,3.9,0.0
2024-01-03 17:15:00+01:00,4.06,0.0
2024-01-03 17:30:00+01:00,7.89,0.0
2024-01-03 17:45:00+01:00,9.57,0.0
2024-01-03 18:00:00+01:00,3.65,0.0
2024-01-03 18:15:00+01:00,4.93,0.0
2024-01-03 18:30:00+01:00,6.17,0.0
